market,status,ldate,litho,rprice,ncore,bfreq,tdp,temp
Mobile,Launched,2012.5,22,1096,4,3,55,105
Desktop,End of Life,2011.75,32,1059,6,3.3,130,66.8
Desktop,End of Life,2012.75,32,1059,6,3.5,150,66.8
Desktop,End of Life,2013.5,22,332,4,3.7,130,66.8
Mobile,Launched,2013.25,22,,4,3,57,100
Desktop,End of Life,2013.5,22,594,6,3.4,130,66.8
Mobile,Launched,2014,22,,4,3.1,57,100
Desktop,End of Life,2013.5,22,1059,6,3.6,130,66.8
Desktop,Launched,2014.5,22,396,6,3.3,140,66.8
Desktop,Launched,2014.5,22,594,6,3.5,140,66.8
Desktop,Launched,2014.5,22,1059,8,3,140,66.8
Desktop,Launched,2016.25,14,441,6,3.4,140,
Desktop,Launched,2016.25,14,628,6,3.6,140,
Desktop,Launched,2016.25,14,1109,8,3.2,140,
Desktop,Launched,2016.25,14,1743,10,3,140,
Desktop,Launched,2017.25,14,243,4,4,112,100
Desktop,Launched,2017.25,14,350,4,4.3,112,100
Desktop,Launched,2017.25,14,389,6,3.5,140,100
Desktop,Launched,2017.25,14,999,10,3.3,140,95
Desktop,Launched,2017.25,14,599,8,3.6,140,99
Desktop,Launched,2017.5,14,1199,12,2.9,140,95
Desktop,Announced,2017.5,,,14,3.1,165,102
Desktop,Announced,2017.5,,,16,2.8,165,98
Desktop,Announced,2017.5,,,18,2.6,165,94
Mobile,Launched,2017.5,14,409,4,1.9,15,100
Mobile,Launched,2017.5,14,297,4,1.7,15,100
Mobile,Launched,2016.5,14,393,2,2.7,15,100
Mobile,Launched,2017,14,415,2,2.4,15,100
Mobile,Launched,2017,14,,2,3.5,28,100
Mobile,Launched,2017,14,393,2,2.8,15,100
Mobile,Launched,2017,14,415,2,2.5,15,100
